author,title,journal,vol,page,year_zh,year_en,doi,comment,Column1,_1,_2
"Jing-Min Liu, Yu Zhai, Xiao-Long Zhang, Hui Li","Intermolecular configurations dominated by the quadrupole-quadrupole electrostatic interactions: Explicit correlation treatment of the five-dimensional potential energy surface and infrared spectra for CO-N2 complex,",Phys. Chem. Chem. Phys.,20,2036,2018,2018,10.1039/C7CP06854A,,,,
*,,,,,2017,2017,,,,,
"Dan Hou, Xiao-Long Zhang, Yu Zhai, Hui Li,",The Role of High Excitations in Constructing Sub-spectroscopic Accuracy Intermolecular Potential of He-HCN: Critically Examined by the High-Resolution Spectra with Resonance States,Chin. J. Chem. Phys.,30,776,2017,2017,10.1063/1674-0068/30/cjcp1712231,"(A paper invited for ""the Chinese Chemical Society's 15th National Chemical Dynamics Symposium Special Issue)",,,
"Jing-Min Liu, Yu Zhai, Hui Li",Explicit correlation treatment of the six-dimensional potential energy surface and predicted infrared spectra for OCS-H<sub>2</sub>,J. Chem. Phys.,147,44313,2017,2017,10.1063/1.4996086,,,,
"Adam Grofe, Zexing Qu, Donald G. Truhlar, Hui Li, Jiali Gao",Diabatic-At-Construction Method for Diabatic and Adiabatic Ground and Excited States Based on Multistate Density Functional Theory,J. Chem. Theory Comput.,13,1176,2017,2017,10.1021/acs.jctc.6b01176,,,,
"Rui-Jie Xue, Adam Grofe, He Yin, Zexing Qu, Jiali Gao, Hui Li",Perturbation Approach for Computing Infrared Spectra of the Local Mode of Probe Molecules,J. Chem. Theory Comput.,13,191,2017,2017,10.1021/acs.jctc.6b00733,,,,
*,,,,,2016,2016,,,,,
"Dan Hou, Yong-Tao Ma, Xiao-Long Zhang, Hui Li",A full-dimension intra- and inter-molecular ab inition potential energy surface and predicted Infrared spectra for H<sub>2</sub>O-He,J. Mol. Spec.,330,217,2016,2016,10.1016/j.jms.2016.07.009,(A paper invited for Robert J. Le Roy Special Issue),,,
"Xunchen Liu, Dan Hou, Javix Thomas, Hui Li, Yunjie Xu,",Ro-vibrational spectrum of H<sub>2</sub>O-Ne in the v<sub>2</sub> H<sub>2</sub>O bending region: a combined ab initio and experimental investigation,J. Mol. Spec.,330,236,2016,2016,10.1016/j.jms.2016.08.011,(A paper invited for Robert J. Le Roy Special Issue),,,
"Yong-Tao Ma, Yuan-Yuan Zhao, Dan Hou, Hui Li",Free rotor model or rigid rotor model? A case study of CH3F-Ne complex and comparison with other CH<sub>3</sub>F-rare gas systems,Chem. Res. Chin. Univ.,32,818,2016,2016,10.1007/s40242-016-6109-3,,,,
"T. Zeng, N.Blinov, G. Guillin, Hui Li, Pierre-Nicholas Roy",MoRiBS-PIMC: a Program to Simulate Molecular Rotors in Bosonic Solvents Using Path-Integral Monte Carlo,Comp. Phys. Comm.,204,170,2016,2016,10.1016/j.cpc.2016.02.025,,,,
"Dan Hou, Yong-Tao Ma, Xiao-Long Zhang, Hui Li",The Origins of Intra- and Inter-molecular vibrational Couplings: A Case Study of H<sub>2</sub>O-Ar on Full and Reduced-Dimensional Potential Energy Surface,J. Chem. Phys.,144,14301,2016,2016,10.1063/1.4939089,,,,
*,,,,,2015,2015,,,,,
"马永涛, 李辉",CH<sub>3</sub>F-Ar 体系的高精度势能面及预测的振转光谱,中国科学：化学,45,1345,2015,2015,10.1360/N032015-00103,(庆祝黎乐民院士 80 华诞专刊约稿),,,
"Tao Zeng, Hui Li, P.-N. Roy",Perspective: Potential Generation and Path-Integral Monte Carlo in Study of Microscopic Superfluidity,Int. J. Quant. Chem.,115,535,2015,2015,10.1002/qua.24815,"(A Paper Invited for ""Theoretical Chemistry in China"" Special Issue)",,,
*,,,,,2014,2014,,,,,
